bbox,content,interactivity,source,type,bbox_parsed
"[0.26244214177131653, 0.03446732461452484, 0.29484954476356506, 0.059086840599775314]",x+,False,box_ocr_content_ocr,text,"[0.26244214177131653, 0.03446732461452484, 0.29484954476356506, 0.059086840599775314]"
"[0.46990740299224854, 0.07564906030893326, 0.5300925970077515, 0.09847806394100189]", localhost:3000,False,box_ocr_content_ocr,text,"[0.46990740299224854, 0.07564906030893326, 0.5300925970077515, 0.09847806394100189]"
"[0.2916666567325592, 0.13652640581130981, 0.49074074625968933, 0.15935541689395905]",Dynamic Online Form Experiment,False,box_ocr_content_ocr,text,"[0.2916666567325592, 0.13652640581130981, 0.49074074625968933, 0.15935541689395905]"
"[0.29050925374031067, 0.17412713170051575, 0.40827545523643494, 0.19740375876426697]",Emergency Contact Name,False,box_ocr_content_ocr,text,"[0.29050925374031067, 0.17412713170051575, 0.40827545523643494, 0.19740375876426697]"
"[0.2890625, 0.23321396112442017, 0.3368055522441864, 0.2618621289730072]",Full Name,False,box_ocr_content_ocr,text,"[0.2890625, 0.23321396112442017, 0.3368055522441864, 0.2618621289730072]"
"[0.29050925374031067, 0.30438676476478577, 0.359375, 0.32229185104370117]",Phone Number,False,box_ocr_content_ocr,text,"[0.29050925374031067, 0.30438676476478577, 0.359375, 0.32229185104370117]"
"[0.29369214177131653, 0.3307967782020569, 0.35098379850387573, 0.3536257743835449]",(555) 55-1234,False,box_ocr_content_ocr,text,"[0.29369214177131653, 0.3307967782020569, 0.35098379850387573, 0.3536257743835449]"
"[0.6372593641281128, 0.3656286895275116, 0.7094036936759949, 0.39705780148506165]",Submit ,True,box_yolo_content_ocr,icon,"[0.6372593641281128, 0.3656286895275116, 0.7094036936759949, 0.39705780148506165]"
"[0.0, 0.02834227867424488, 0.1406564563512802, 0.06396996974945068]", New Tab ,True,box_yolo_content_ocr,icon,"[0.0, 0.02834227867424488, 0.1406564563512802, 0.06396996974945068]"
"[0.2883220314979553, 0.2588917911052704, 0.5009462833404541, 0.29389721155166626]", Jane Doe ,True,box_yolo_content_ocr,icon,"[0.2883220314979553, 0.2588917911052704, 0.5009462833404541, 0.29389721155166626]"
"[0.13846376538276672, 0.028391635045409203, 0.2597775459289551, 0.06272055953741074]",Dynamic Online Form ,True,box_yolo_content_ocr,icon,"[0.13846376538276672, 0.028391635045409203, 0.2597775459289551, 0.06272055953741074]"
"[0.6703605651855469, 0.1325078308582306, 0.7090583443641663, 0.16332952678203583]",Shuffle ,True,box_yolo_content_ocr,icon,"[0.6703605651855469, 0.1325078308582306, 0.7090583443641663, 0.16332952678203583]"
"[0.7211928367614746, 0.07275352627038956, 0.737065851688385, 0.10242549329996109]",A symbol or icon indicating a cursor or pointer.,True,box_yolo_content_yolo,icon,"[0.7211928367614746, 0.07275352627038956, 0.737065851688385, 0.10242549329996109]"
"[0.0065551819279789925, 0.06674997508525848, 0.024238871410489082, 0.10486247390508652]",back arrow,True,box_yolo_content_yolo,icon,"[0.0065551819279789925, 0.06674997508525848, 0.024238871410489082, 0.10486247390508652]"
"[0.041030339896678925, 0.06643643975257874, 0.0583348274230957, 0.10600271075963974]",Refresh or restart function.,True,box_yolo_content_yolo,icon,"[0.041030339896678925, 0.06643643975257874, 0.0583348274230957, 0.10600271075963974]"
"[0.9779430627822876, 0.03096167743206024, 0.9932335019111633, 0.06342118978500366]",A simple symbol or icon.,True,box_yolo_content_yolo,icon,"[0.9779430627822876, 0.03096167743206024, 0.9932335019111633, 0.06342118978500366]"
"[0.2603869140148163, 0.03341375291347504, 0.27503514289855957, 0.06112924963235855]",Close or cancel function.,True,box_yolo_content_yolo,icon,"[0.2603869140148163, 0.03341375291347504, 0.27503514289855957, 0.06112924963235855]"
"[0.02383156679570675, 0.0656990185379982, 0.040172453969717026, 0.10567019134759903]",A simple arrow or orientation.,True,box_yolo_content_yolo,icon,"[0.02383156679570675, 0.0656990185379982, 0.040172453969717026, 0.10567019134759903]"
"[0.9772688746452332, 0.06591975688934326, 0.996825635433197, 0.1076531857252121]",A bar with a blue dot on it.,True,box_yolo_content_yolo,icon,"[0.9772688746452332, 0.06591975688934326, 0.996825635433197, 0.1076531857252121]"
"[0.2964610457420349, 0.20111818611621857, 0.3072063624858856, 0.22576728463172913]",unanswerable,True,box_yolo_content_yolo,icon,"[0.2964610457420349, 0.20111818611621857, 0.3072063624858856, 0.22576728463172913]"
"[0.2800293266773224, 0.02996930666267872, 0.2952434718608856, 0.06467705965042114]",A simple option to add or subtract a piece.,True,box_yolo_content_yolo,icon,"[0.2800293266773224, 0.02996930666267872, 0.2952434718608856, 0.06467705965042114]"
"[0.2610614001750946, 0.06921880692243576, 0.27948981523513794, 0.10407397896051407]",A symbol or logo that represents the element or symbol related to religion or religion.,True,box_yolo_content_yolo,icon,"[0.2610614001750946, 0.06921880692243576, 0.27948981523513794, 0.10407397896051407]"
"[2.337545265618246e-05, 0.0668722540140152, 0.004984325263649225, 0.1045532375574112]",unanswerable,True,box_yolo_content_yolo,icon,"[2.337545265618246e-05, 0.0668722540140152, 0.004984325263649225, 0.1045532375574112]"
