bbox,content,interactivity,source,type,bbox_parsed
"[0.47019675374031067, 0.07385855168104172, 0.5286458134651184, 0.10071620345115662]", localhost:3000,False,box_ocr_content_ocr,text,"[0.47019675374031067, 0.07385855168104172, 0.5286458134651184, 0.10071620345115662]"
"[0.2916666567325592, 0.13652640581130981, 0.49074074625968933, 0.15935541689395905]",Dynamic Online Form Experiment,False,box_ocr_content_ocr,text,"[0.2916666567325592, 0.13652640581130981, 0.49074074625968933, 0.15935541689395905]"
"[0.28964120149612427, 0.17412713170051575, 0.40740740299224854, 0.19740375876426697]",Emergency Contact Name,False,box_ocr_content_ocr,text,"[0.28964120149612427, 0.17412713170051575, 0.40740740299224854, 0.19740375876426697]"
"[0.2890625, 0.23321396112442017, 0.3368055522441864, 0.2618621289730072]",Full Name,False,box_ocr_content_ocr,text,"[0.2890625, 0.23321396112442017, 0.3368055522441864, 0.2618621289730072]"
"[0.2916666567325592, 0.30438676476478577, 0.35821759700775146, 0.32229185104370117]",Phone Number,False,box_ocr_content_ocr,text,"[0.2916666567325592, 0.30438676476478577, 0.35821759700775146, 0.32229185104370117]"
"[0.2916666567325592, 0.3307967782020569, 0.35011574625968933, 0.3536257743835449]",(555) 555-1234,False,box_ocr_content_ocr,text,"[0.2916666567325592, 0.3307967782020569, 0.35011574625968933, 0.3536257743835449]"
"[0.37905094027519226, 0.458818256855011, 0.484375, 0.48030439019203186]",A message from localhost,False,box_ocr_content_ocr,text,"[0.37905094027519226, 0.458818256855011, 0.484375, 0.48030439019203186]"
"[0.37818285822868347, 0.5031334161758423, 0.46672454476356506, 0.5246195197105408]",Submitted successfully!,False,box_ocr_content_ocr,text,"[0.37818285822868347, 0.5031334161758423, 0.46672454476356506, 0.5246195197105408]"
"[0.6373571753501892, 0.36575818061828613, 0.7092861533164978, 0.3970470726490021]",Submit ,True,box_yolo_content_ocr,icon,"[0.6373571753501892, 0.36575818061828613, 0.7092861533164978, 0.3970470726490021]"
"[0.28843367099761963, 0.2589651346206665, 0.5007762312889099, 0.29385191202163696]", Jane Doe ,True,box_yolo_content_ocr,icon,"[0.28843367099761963, 0.2589651346206665, 0.5007762312889099, 0.29385191202163696]"
"[4.234314110362902e-05, 0.02829057350754738, 0.1406642496585846, 0.06389179080724716]", New Tab ,True,box_yolo_content_ocr,icon,"[4.234314110362902e-05, 0.02829057350754738, 0.1406642496585846, 0.06389179080724716]"
"[0.13910000026226044, 0.02873862162232399, 0.2590005397796631, 0.06253886222839355]",Dynamic Online Form ,True,box_yolo_content_ocr,icon,"[0.13910000026226044, 0.02873862162232399, 0.2590005397796631, 0.06253886222839355]"
"[0.5007128715515137, 0.5451979041099548, 0.6231444478034973, 0.5729719996452332]",OK ,True,box_yolo_content_ocr,icon,"[0.5007128715515137, 0.5451979041099548, 0.6231444478034973, 0.5729719996452332]"
"[0.6706662774085999, 0.13257504999637604, 0.7087515592575073, 0.16312097012996674]",Shuffle ) ,True,box_yolo_content_ocr,icon,"[0.6706662774085999, 0.13257504999637604, 0.7087515592575073, 0.16312097012996674]"
"[0.04071700572967529, 0.06752558797597885, 0.05861504375934601, 0.10468926280736923]",Refresh or restart function.,True,box_yolo_content_yolo,icon,"[0.04071700572967529, 0.06752558797597885, 0.05861504375934601, 0.10468926280736923]"
"[0.006648891139775515, 0.0680801123380661, 0.02418382652103901, 0.10365542024374008]",back arrow,True,box_yolo_content_yolo,icon,"[0.006648891139775515, 0.0680801123380661, 0.02418382652103901, 0.10365542024374008]"
"[0.7215246558189392, 0.07303119450807571, 0.7371757626533508, 0.1019517034292221]",A circle or circle with a cursor pointing to the right.,True,box_yolo_content_yolo,icon,"[0.7215246558189392, 0.07303119450807571, 0.7371757626533508, 0.1019517034292221]"
"[0.024125777184963226, 0.06911656260490417, 0.03971583768725395, 0.10412237048149109]",A simple arrow or orientation.,True,box_yolo_content_yolo,icon,"[0.024125777184963226, 0.06911656260490417, 0.03971583768725395, 0.10412237048149109]"
"[0.977885901927948, 0.03081059269607067, 0.9929835796356201, 0.0635451227426529]",A low angle or low angle sensor.,True,box_yolo_content_yolo,icon,"[0.977885901927948, 0.03081059269607067, 0.9929835796356201, 0.0635451227426529]"
"[0.26041218638420105, 0.034736230969429016, 0.2749019265174866, 0.06067511811852455]",Close or cancel function.,True,box_yolo_content_yolo,icon,"[0.26041218638420105, 0.034736230969429016, 0.2749019265174866, 0.06067511811852455]"
"[0.9770836234092712, 0.06566188484430313, 0.9964885711669922, 0.10757900029420853]",A stick with a blue dot on it.,True,box_yolo_content_yolo,icon,"[0.9770836234092712, 0.06566188484430313, 0.9964885711669922, 0.10757900029420853]"
"[0.2813953161239624, 0.03492477163672447, 0.2937929034233093, 0.06286643445491791]",A simple option to add or add a new item.,True,box_yolo_content_yolo,icon,"[0.2813953161239624, 0.03492477163672447, 0.2937929034233093, 0.06286643445491791]"
"[0.29658886790275574, 0.20194125175476074, 0.30652204155921936, 0.2244114875793457]",unanswerable,True,box_yolo_content_yolo,icon,"[0.29658886790275574, 0.20194125175476074, 0.30652204155921936, 0.2244114875793457]"
"[0.262027382850647, 0.07158813625574112, 0.27884018421173096, 0.10276956856250763]",A symbol or logo that represents the percentage or percentage of a person.,True,box_yolo_content_yolo,icon,"[0.262027382850647, 0.07158813625574112, 0.27884018421173096, 0.10276956856250763]"
