bbox,content,interactivity,source,type,bbox_parsed
"[0.26244214177131653, 0.03446732461452484, 0.29484954476356506, 0.059086840599775314]",x+,False,box_ocr_content_ocr,text,"[0.26244214177131653, 0.03446732461452484, 0.29484954476356506, 0.059086840599775314]"
"[0.46990740299224854, 0.07564906030893326, 0.5300925970077515, 0.09847806394100189]", localhost:3000,False,box_ocr_content_ocr,text,"[0.46990740299224854, 0.07564906030893326, 0.5300925970077515, 0.09847806394100189]"
"[0.2916666567325592, 0.13652640581130981, 0.49074074625968933, 0.15935541689395905]",Dynamic Online Form Experiment,False,box_ocr_content_ocr,text,"[0.2916666567325592, 0.13652640581130981, 0.49074074625968933, 0.15935541689395905]"
"[0.29050925374031067, 0.17412713170051575, 0.40943285822868347, 0.19740375876426697]",Emergency Contact Name,False,box_ocr_content_ocr,text,"[0.29050925374031067, 0.17412713170051575, 0.40943285822868347, 0.19740375876426697]"
"[0.28964120149612427, 0.23679499328136444, 0.33738425374031067, 0.26007163524627686]",Full Name,False,box_ocr_content_ocr,text,"[0.28964120149612427, 0.23679499328136444, 0.33738425374031067, 0.26007163524627686]"
"[0.28964120149612427, 0.30259624123573303, 0.359375, 0.32587286829948425]", Phone Number,False,box_ocr_content_ocr,text,"[0.28964120149612427, 0.30259624123573303, 0.359375, 0.32587286829948425]"
"[0.2867142856121063, 0.2573160231113434, 0.5019105076789856, 0.29616111516952515]",Jane Doe ,True,box_yolo_content_ocr,icon,"[0.2867142856121063, 0.2573160231113434, 0.5019105076789856, 0.29616111516952515]"
"[0.6372390389442444, 0.3656317889690399, 0.7093971967697144, 0.3970692455768585]",Submit ,True,box_yolo_content_ocr,icon,"[0.6372390389442444, 0.3656317889690399, 0.7093971967697144, 0.3970692455768585]"
"[0.0, 0.02840518392622471, 0.14017489552497864, 0.06399384886026382]", New Tab ,True,box_yolo_content_ocr,icon,"[0.0, 0.02840518392622471, 0.14017489552497864, 0.06399384886026382]"
"[0.28890249133110046, 0.32262665033340454, 0.5002112984657288, 0.35790005326271057]",(555) 555-1234 ,True,box_yolo_content_ocr,icon,"[0.28890249133110046, 0.32262665033340454, 0.5002112984657288, 0.35790005326271057]"
"[0.13842250406742096, 0.02840844914317131, 0.2598612904548645, 0.06282400339841843]",Dynamic Online Form ,True,box_yolo_content_ocr,icon,"[0.13842250406742096, 0.02840844914317131, 0.2598612904548645, 0.06282400339841843]"
"[0.6703593730926514, 0.13251511752605438, 0.7090516686439514, 0.16331182420253754]",Shuffle ,True,box_yolo_content_ocr,icon,"[0.6703593730926514, 0.13251511752605438, 0.7090516686439514, 0.16331182420253754]"
"[0.721243679523468, 0.07279009371995926, 0.7370394468307495, 0.1023910641670227]",A symbol or icon indicating a cursor or pointer.,True,box_yolo_content_yolo,icon,"[0.721243679523468, 0.07279009371995926, 0.7370394468307495, 0.1023910641670227]"
"[0.006588824559003115, 0.06658723205327988, 0.024195067584514618, 0.10492365062236786]",back arrow,True,box_yolo_content_yolo,icon,"[0.006588824559003115, 0.06658723205327988, 0.024195067584514618, 0.10492365062236786]"
"[0.04109608381986618, 0.066399946808815, 0.05824114382266998, 0.10594478994607925]",Refresh or restart function.,True,box_yolo_content_yolo,icon,"[0.04109608381986618, 0.066399946808815, 0.05824114382266998, 0.10594478994607925]"
"[0.9779346585273743, 0.03100266307592392, 0.9932007193565369, 0.06339200586080551]",A simple symbol or icon.,True,box_yolo_content_yolo,icon,"[0.9779346585273743, 0.03100266307592392, 0.9932007193565369, 0.06339200586080551]"
"[0.023844340816140175, 0.06558242440223694, 0.04009195789694786, 0.1057172566652298]",A simple arrow or orientation.,True,box_yolo_content_yolo,icon,"[0.023844340816140175, 0.06558242440223694, 0.04009195789694786, 0.1057172566652298]"
"[0.2604735791683197, 0.03352436050772667, 0.27498841285705566, 0.06114112585783005]",Close or cancel function.,True,box_yolo_content_yolo,icon,"[0.2604735791683197, 0.03352436050772667, 0.27498841285705566, 0.06114112585783005]"
"[0.9772930145263672, 0.06589444726705551, 0.9967033863067627, 0.1079157143831253]",A single stick with a blue dot on it.,True,box_yolo_content_yolo,icon,"[0.9772930145263672, 0.06589444726705551, 0.9967033863067627, 0.1079157143831253]"
"[0.2964722812175751, 0.20140688121318817, 0.30713871121406555, 0.22534644603729248]",unanswerable,True,box_yolo_content_yolo,icon,"[0.2964722812175751, 0.20140688121318817, 0.30713871121406555, 0.22534644603729248]"
"[0.2801826298236847, 0.03004249557852745, 0.2951245605945587, 0.06461121886968613]",A simple option to add or subtract a piece.,True,box_yolo_content_yolo,icon,"[0.2801826298236847, 0.03004249557852745, 0.2951245605945587, 0.06461121886968613]"
"[0.26128679513931274, 0.06940432637929916, 0.2792084217071533, 0.10400217026472092]",A symbol or symbol related to religion or religion.,True,box_yolo_content_yolo,icon,"[0.26128679513931274, 0.06940432637929916, 0.2792084217071533, 0.10400217026472092]"
"[2.8026104700984433e-05, 0.06685617566108704, 0.004987156949937344, 0.1045449897646904]",unanswerable,True,box_yolo_content_yolo,icon,"[2.8026104700984433e-05, 0.06685617566108704, 0.004987156949937344, 0.1045449897646904]"
