bbox,content,interactivity,source,type,bbox_parsed
"[0.26244214177131653, 0.03446732461452484, 0.29484954476356506, 0.059086840599775314]",x+,False,box_ocr_content_ocr,text,"[0.26244214177131653, 0.03446732461452484, 0.29484954476356506, 0.059086840599775314]"
"[0.46990740299224854, 0.07564906030893326, 0.5300925970077515, 0.09847806394100189]", localhost:3000,False,box_ocr_content_ocr,text,"[0.46990740299224854, 0.07564906030893326, 0.5300925970077515, 0.09847806394100189]"
"[0.29050925374031067, 0.13652640581130981, 0.49074074625968933, 0.15935541689395905]",Dynamic Online Form Experiment,False,box_ocr_content_ocr,text,"[0.29050925374031067, 0.13652640581130981, 0.49074074625968933, 0.15935541689395905]"
"[0.28964120149612427, 0.17412713170051575, 0.40943285822868347, 0.19740375876426697]",Emergency Contact Name,False,box_ocr_content_ocr,text,"[0.28964120149612427, 0.17412713170051575, 0.40943285822868347, 0.19740375876426697]"
"[0.2890625, 0.2350044697523117, 0.33709490299224854, 0.2618621289730072]",Full Name,False,box_ocr_content_ocr,text,"[0.2890625, 0.2350044697523117, 0.33709490299224854, 0.2618621289730072]"
"[0.28877314925193787, 0.29901522397994995, 0.35908564925193787, 0.32587286829948425]", Phone Number,False,box_ocr_content_ocr,text,"[0.28877314925193787, 0.29901522397994995, 0.35908564925193787, 0.32587286829948425]"
"[0.28836560249328613, 0.1935218870639801, 0.5018692016601562, 0.23392333090305328]",etsrun| ,True,box_yolo_content_ocr,icon,"[0.28836560249328613, 0.1935218870639801, 0.5018692016601562, 0.23392333090305328]"
"[0.6372314095497131, 0.36562690138816833, 0.7093926668167114, 0.39706355333328247]",Submit ,True,box_yolo_content_ocr,icon,"[0.6372314095497131, 0.36562690138816833, 0.7093926668167114, 0.39706355333328247]"
"[0.0, 0.028407936915755272, 0.14016078412532806, 0.06399193406105042]", New Tab ,True,box_yolo_content_ocr,icon,"[0.0, 0.028407936915755272, 0.14016078412532806, 0.06399193406105042]"
"[0.2883131504058838, 0.2589009404182434, 0.5009472370147705, 0.29379794001579285]",Jane Doe ,True,box_yolo_content_ocr,icon,"[0.2883131504058838, 0.2589009404182434, 0.5009472370147705, 0.29379794001579285]"
"[0.2894328534603119, 0.32260316610336304, 0.500061571598053, 0.35783612728118896]",(555) 555-1234 ,True,box_yolo_content_ocr,icon,"[0.2894328534603119, 0.32260316610336304, 0.500061571598053, 0.35783612728118896]"
"[0.13835860788822174, 0.028402559459209442, 0.2599639594554901, 0.06281612068414688]",Dynamic Online Form ,True,box_yolo_content_ocr,icon,"[0.13835860788822174, 0.028402559459209442, 0.2599639594554901, 0.06281612068414688]"
"[0.6703734993934631, 0.13251431286334991, 0.7090436220169067, 0.16328412294387817]",Shuffle ,True,box_yolo_content_ocr,icon,"[0.6703734993934631, 0.13251431286334991, 0.7090436220169067, 0.16328412294387817]"
"[0.7212262749671936, 0.07270629703998566, 0.7370496392250061, 0.10240383446216583]",A symbol or icon indicating a cursor or pointer.,True,box_yolo_content_yolo,icon,"[0.7212262749671936, 0.07270629703998566, 0.7370496392250061, 0.10240383446216583]"
"[0.006596837658435106, 0.06681543588638306, 0.02416851930320263, 0.10480881482362747]",back arrow,True,box_yolo_content_yolo,icon,"[0.006596837658435106, 0.06681543588638306, 0.02416851930320263, 0.10480881482362747]"
"[0.04089711233973503, 0.06584003567695618, 0.05809171870350838, 0.10657503455877304]",Refresh or restart function.,True,box_yolo_content_yolo,icon,"[0.04089711233973503, 0.06584003567695618, 0.05809171870350838, 0.10657503455877304]"
"[0.02384927310049534, 0.06571316719055176, 0.040169067680835724, 0.10561481863260269]",A straight line or arrow.,True,box_yolo_content_yolo,icon,"[0.02384927310049534, 0.06571316719055176, 0.040169067680835724, 0.10561481863260269]"
"[0.9779452681541443, 0.030957361683249474, 0.993130624294281, 0.0633694976568222]",A simple symbol or icon.,True,box_yolo_content_yolo,icon,"[0.9779452681541443, 0.030957361683249474, 0.993130624294281, 0.0633694976568222]"
"[0.26048702001571655, 0.03336254134774208, 0.2749694585800171, 0.061156127601861954]",Close or cancel function.,True,box_yolo_content_yolo,icon,"[0.26048702001571655, 0.03336254134774208, 0.2749694585800171, 0.061156127601861954]"
"[0.977301299571991, 0.0660022646188736, 0.9965178370475769, 0.10782018303871155]",A bar with a blue dot on it.,True,box_yolo_content_yolo,icon,"[0.977301299571991, 0.0660022646188736, 0.9965178370475769, 0.10782018303871155]"
"[0.28010889887809753, 0.029983708634972572, 0.2951144576072693, 0.06454482674598694]",A simple option to add or subtract a piece.,True,box_yolo_content_yolo,icon,"[0.28010889887809753, 0.029983708634972572, 0.2951144576072693, 0.06454482674598694]"
"[0.2612139582633972, 0.06922481209039688, 0.27919039130210876, 0.10404478013515472]",A symbol or logo that represents the element or symbol.,True,box_yolo_content_yolo,icon,"[0.2612139582633972, 0.06922481209039688, 0.27919039130210876, 0.10404478013515472]"
"[2.120882345479913e-05, 0.06685329973697662, 0.004993856884539127, 0.10455476492643356]",unanswerable,True,box_yolo_content_yolo,icon,"[2.120882345479913e-05, 0.06685329973697662, 0.004993856884539127, 0.10455476492643356]"
