bbox,content,interactivity,source,type,bbox_parsed
"[0.26244214177131653, 0.032676812261343, 0.29484954476356506, 0.059086840599775314]",x+,False,box_ocr_content_ocr,text,"[0.26244214177131653, 0.032676812261343, 0.29484954476356506, 0.059086840599775314]"
"[0.46990740299224854, 0.07564906030893326, 0.5300925970077515, 0.09847806394100189]", localhost:3000,False,box_ocr_content_ocr,text,"[0.46990740299224854, 0.07564906030893326, 0.5300925970077515, 0.09847806394100189]"
"[0.2916666567325592, 0.13652640581130981, 0.49074074625968933, 0.15935541689395905]",Dynamic Online Form Experiment,False,box_ocr_content_ocr,text,"[0.2916666567325592, 0.13652640581130981, 0.49074074625968933, 0.15935541689395905]"
"[0.29050925374031067, 0.17412713170051575, 0.40827545523643494, 0.19740375876426697]",Emergency Contact Name,False,box_ocr_content_ocr,text,"[0.29050925374031067, 0.17412713170051575, 0.40827545523643494, 0.19740375876426697]"
"[0.2890625, 0.23321396112442017, 0.3368055522441864, 0.2618621289730072]",Full Name,False,box_ocr_content_ocr,text,"[0.2890625, 0.23321396112442017, 0.3368055522441864, 0.2618621289730072]"
"[0.28877314925193787, 0.29901522397994995, 0.35908564925193787, 0.32587286829948425]", Phone Number,False,box_ocr_content_ocr,text,"[0.28877314925193787, 0.29901522397994995, 0.35908564925193787, 0.32587286829948425]"
"[0.2916666567325592, 0.3307967782020569, 0.35011574625968933, 0.3536257743835449]",(555) 555-1234,False,box_ocr_content_ocr,text,"[0.2916666567325592, 0.3307967782020569, 0.35011574625968933, 0.3536257743835449]"
"[0.28870832920074463, 0.19498567283153534, 0.5008438229560852, 0.23182988166809082]", John Doe ,True,box_yolo_content_ocr,icon,"[0.28870832920074463, 0.19498567283153534, 0.5008438229560852, 0.23182988166809082]"
"[0.6371496915817261, 0.36563119292259216, 0.709422767162323, 0.39713358879089355]",Submit ,True,box_yolo_content_ocr,icon,"[0.6371496915817261, 0.36563119292259216, 0.709422767162323, 0.39713358879089355]"
"[0.2882319688796997, 0.25914308428764343, 0.500784695148468, 0.293954461812973]", Jane Doe ,True,box_yolo_content_ocr,icon,"[0.2882319688796997, 0.25914308428764343, 0.500784695148468, 0.293954461812973]"
"[0.0016331315273419023, 0.02880183793604374, 0.14063356816768646, 0.06290865689516068]", New Tab ,True,box_yolo_content_ocr,icon,"[0.0016331315273419023, 0.02880183793604374, 0.14063356816768646, 0.06290865689516068]"
"[0.14110349118709564, 0.028669388964772224, 0.26065564155578613, 0.06240564584732056]",Dynamic Online Form ,True,box_yolo_content_ocr,icon,"[0.14110349118709564, 0.028669388964772224, 0.26065564155578613, 0.06240564584732056]"
"[0.6703797578811646, 0.132402241230011, 0.7088927626609802, 0.16348782181739807]",Shuffle ,True,box_yolo_content_ocr,icon,"[0.6703797578811646, 0.132402241230011, 0.7088927626609802, 0.16348782181739807]"
"[0.7212145924568176, 0.07293450832366943, 0.7370464205741882, 0.10234898328781128]",A symbol or icon indicating a cursor or pointer.,True,box_yolo_content_yolo,icon,"[0.7212145924568176, 0.07293450832366943, 0.7370464205741882, 0.10234898328781128]"
"[0.04073488712310791, 0.06686857342720032, 0.05841895565390587, 0.10590463131666183]",Refresh or restart function.,True,box_yolo_content_yolo,icon,"[0.04073488712310791, 0.06686857342720032, 0.05841895565390587, 0.10590463131666183]"
"[0.006482422351837158, 0.06759939342737198, 0.02426670677959919, 0.1049635112285614]",back arrow,True,box_yolo_content_yolo,icon,"[0.006482422351837158, 0.06759939342737198, 0.02426670677959919, 0.1049635112285614]"
"[0.26043206453323364, 0.03483840078115463, 0.27486735582351685, 0.061065010726451874]",Close or cancel function.,True,box_yolo_content_yolo,icon,"[0.26043206453323364, 0.03483840078115463, 0.27486735582351685, 0.061065010726451874]"
"[0.023841436952352524, 0.06791169941425323, 0.04001154378056526, 0.10546794533729553]",A simple arrow or arrow.,True,box_yolo_content_yolo,icon,"[0.023841436952352524, 0.06791169941425323, 0.04001154378056526, 0.10546794533729553]"
"[0.977813184261322, 0.030562542378902435, 0.9934626221656799, 0.06359812617301941]",A simple symbol or icon.,True,box_yolo_content_yolo,icon,"[0.977813184261322, 0.030562542378902435, 0.9934626221656799, 0.06359812617301941]"
"[0.9768040180206299, 0.06499738246202469, 0.9973102807998657, 0.107340969145298]",A stick with a blue dot on it.,True,box_yolo_content_yolo,icon,"[0.9768040180206299, 0.06499738246202469, 0.9973102807998657, 0.107340969145298]"
"[0.2617153823375702, 0.07130798697471619, 0.278954416513443, 0.10357990860939026]",A symbol or logo that represents the percentage or percentage of a person.,True,box_yolo_content_yolo,icon,"[0.2617153823375702, 0.07130798697471619, 0.278954416513443, 0.10357990860939026]"
"[0.0, 0.0669291689991951, 0.005052078515291214, 0.10504064708948135]",unanswerable,True,box_yolo_content_yolo,icon,"[0.0, 0.0669291689991951, 0.005052078515291214, 0.10504064708948135]"
