bbox,content,interactivity,source,type,bbox_parsed
"[0.004050925839692354, 0.03625783324241638, 0.054108794778585434, 0.059086840599775314]", New Tab,False,box_ocr_content_ocr,text,"[0.004050925839692354, 0.03625783324241638, 0.054108794778585434, 0.059086840599775314]"
"[0.26359954476356506, 0.07564906030893326, 0.36776620149612427, 0.09847806394100189]",Q Search or enter address,False,box_ocr_content_ocr,text,"[0.26359954476356506, 0.07564906030893326, 0.36776620149612427, 0.09847806394100189]"
"[0.43026620149612427, 0.1101163849234581, 0.5208333134651184, 0.13339301943778992]", Gmail Brightspace,False,box_ocr_content_ocr,text,"[0.43026620149612427, 0.1101163849234581, 0.5208333134651184, 0.13339301943778992]"
"[0.38946759700775146, 0.20904207229614258, 0.5072337985038757, 0.23008057475090027]", Personal Information Removal,False,box_ocr_content_ocr,text,"[0.38946759700775146, 0.20904207229614258, 0.5072337985038757, 0.23008057475090027]"
"[0.38744214177131653, 0.22515666484832764, 0.5376157164573669, 0.2466427981853485]",Find out which sites are selling your info.,False,box_ocr_content_ocr,text,"[0.38744214177131653, 0.22515666484832764, 0.5376157164573669, 0.2466427981853485]"
"[0.35358795523643494, 0.2676813006401062, 0.40162035822868347, 0.29632946848869324]",Next Steps ,False,box_ocr_content_ocr,text,"[0.35358795523643494, 0.2676813006401062, 0.40162035822868347, 0.29632946848869324]"
"[0.3697916567325592, 0.6150403022766113, 0.46875, 0.6365264058113098]", Protections Report,False,box_ocr_content_ocr,text,"[0.3697916567325592, 0.6150403022766113, 0.46875, 0.6365264058113098]"
"[0.36660879850387573, 0.6481647491455078, 0.515625, 0.6709937453269958]",168 tracking attempts blocked,False,box_ocr_content_ocr,text,"[0.36660879850387573, 0.6481647491455078, 0.515625, 0.6709937453269958]"
"[0.3671875, 0.6656221747398376, 0.42042824625968933, 0.6929274797439575]",PAST 7 DAYS,False,box_ocr_content_ocr,text,"[0.3671875, 0.6656221747398376, 0.42042824625968933, 0.6929274797439575]"
"[0.4140625, 0.7068039178848267, 0.45457175374031067, 0.7341092228889465]",Summary,False,box_ocr_content_ocr,text,"[0.4140625, 0.7068039178848267, 0.45457175374031067, 0.7341092228889465]"
"[0.37181714177131653, 0.7632049918174744, 0.43344905972480774, 0.7860340476036072]", localhost,False,box_ocr_content_ocr,text,"[0.37181714177131653, 0.7632049918174744, 0.43344905972480774, 0.7860340476036072]"
"[0.39178240299224854, 0.7878245115280151, 0.5115740895271301, 0.8093106746673584]", 78 tracking attempts blocked,False,box_ocr_content_ocr,text,"[0.39178240299224854, 0.7878245115280151, 0.5115740895271301, 0.8093106746673584]"
"[0.39265045523643494, 0.8124440312385559, 0.46672454476356506, 0.8307967782020569]",3000/checkout 3d ago,False,box_ocr_content_ocr,text,"[0.39265045523643494, 0.8124440312385559, 0.46672454476356506, 0.8307967782020569]"
"[0.39178240299224854, 0.8290062546730042, 0.47714120149612427, 0.8504924178123474]",:3000/catering 3d ago ,False,box_ocr_content_ocr,text,"[0.39178240299224854, 0.8290062546730042, 0.47714120149612427, 0.8504924178123474]"
