bbox,content,interactivity,source,type,bbox_parsed
"[0.26244214177131653, 0.03446732461452484, 0.29484954476356506, 0.059086840599775314]",x+,False,box_ocr_content_ocr,text,"[0.26244214177131653, 0.03446732461452484, 0.29484954476356506, 0.059086840599775314]"
"[0.46990740299224854, 0.07564906030893326, 0.5300925970077515, 0.09847806394100189]", localhost:3000,False,box_ocr_content_ocr,text,"[0.46990740299224854, 0.07564906030893326, 0.5300925970077515, 0.09847806394100189]"
"[0.2916666567325592, 0.13652640581130981, 0.49074074625968933, 0.15935541689395905]",Dynamic Online Form Experiment,False,box_ocr_content_ocr,text,"[0.2916666567325592, 0.13652640581130981, 0.49074074625968933, 0.15935541689395905]"
"[0.29050925374031067, 0.17412713170051575, 0.40943285822868347, 0.19740375876426697]",Emergency Contact Name,False,box_ocr_content_ocr,text,"[0.29050925374031067, 0.17412713170051575, 0.40943285822868347, 0.19740375876426697]"
"[0.2890625, 0.23321396112442017, 0.3368055522441864, 0.2618621289730072]",Full Name,False,box_ocr_content_ocr,text,"[0.2890625, 0.23321396112442017, 0.3368055522441864, 0.2618621289730072]"
"[0.28877314925193787, 0.29901522397994995, 0.35908564925193787, 0.32587286829948425]", Phone Number,False,box_ocr_content_ocr,text,"[0.28877314925193787, 0.29901522397994995, 0.35908564925193787, 0.32587286829948425]"
"[0.2881961166858673, 0.19353006780147552, 0.5018779039382935, 0.2337435632944107]",John Doe ,True,box_yolo_content_ocr,icon,"[0.2881961166858673, 0.19353006780147552, 0.5018779039382935, 0.2337435632944107]"
"[0.6372306942939758, 0.3656264841556549, 0.7093935608863831, 0.39706212282180786]",Submit ,True,box_yolo_content_ocr,icon,"[0.6372306942939758, 0.3656264841556549, 0.7093935608863831, 0.39706212282180786]"
"[0.0, 0.028399353846907616, 0.14016412198543549, 0.06399860978126526]", New Tab ,True,box_yolo_content_ocr,icon,"[0.0, 0.028399353846907616, 0.14016412198543549, 0.06399860978126526]"
"[0.2882630527019501, 0.2589252293109894, 0.5009714365005493, 0.2938181757926941]",Jane Doe ,True,box_yolo_content_ocr,icon,"[0.2882630527019501, 0.2589252293109894, 0.5009714365005493, 0.2938181757926941]"
"[0.2893911898136139, 0.3225529193878174, 0.5000998377799988, 0.3578583598136902]",(555) 555-1234 ,True,box_yolo_content_ocr,icon,"[0.2893911898136139, 0.3225529193878174, 0.5000998377799988, 0.3578583598136902]"
"[0.13839642703533173, 0.028409365564584732, 0.25986260175704956, 0.06283220648765564]",Dynamic Online Form ,True,box_yolo_content_ocr,icon,"[0.13839642703533173, 0.028409365564584732, 0.25986260175704956, 0.06283220648765564]"
"[0.6703758239746094, 0.13250793516635895, 0.7090467810630798, 0.1632947325706482]",Shuffle ,True,box_yolo_content_ocr,icon,"[0.6703758239746094, 0.13250793516635895, 0.7090467810630798, 0.1632947325706482]"
"[0.7212411165237427, 0.07271919399499893, 0.7370389103889465, 0.10237910598516464]",A symbol or icon indicating a cursor or pointer.,True,box_yolo_content_yolo,icon,"[0.7212411165237427, 0.07271919399499893, 0.7370389103889465, 0.10237910598516464]"
"[0.0065820487216115, 0.0668378546833992, 0.024201681837439537, 0.1047954186797142]",back arrow,True,box_yolo_content_yolo,icon,"[0.0065820487216115, 0.0668378546833992, 0.024201681837439537, 0.1047954186797142]"
"[0.040894050151109695, 0.06577730178833008, 0.05806690827012062, 0.10660948604345322]",Refresh or restart function.,True,box_yolo_content_yolo,icon,"[0.040894050151109695, 0.06577730178833008, 0.05806690827012062, 0.10660948604345322]"
"[0.9779193997383118, 0.030938543379306793, 0.9931972622871399, 0.06340804696083069]",A simple symbol or icon.,True,box_yolo_content_yolo,icon,"[0.9779193997383118, 0.030938543379306793, 0.9931972622871399, 0.06340804696083069]"
"[0.02385394275188446, 0.06571871787309647, 0.04015820473432541, 0.1056320071220398]",A straight line or arrow.,True,box_yolo_content_yolo,icon,"[0.02385394275188446, 0.06571871787309647, 0.04015820473432541, 0.1056320071220398]"
"[0.26046228408813477, 0.033497124910354614, 0.27503129839897156, 0.06119707599282265]",Close or cancel function.,True,box_yolo_content_yolo,icon,"[0.26046228408813477, 0.033497124910354614, 0.27503129839897156, 0.06119707599282265]"
"[0.9772834777832031, 0.06590992957353592, 0.9966266751289368, 0.1078849658370018]",A single stick with a blue dot on it.,True,box_yolo_content_yolo,icon,"[0.9772834777832031, 0.06590992957353592, 0.9966266751289368, 0.1078849658370018]"
"[0.28014346957206726, 0.03006068803369999, 0.29511237144470215, 0.06456001847982407]",A simple option to add or subtract a piece.,True,box_yolo_content_yolo,icon,"[0.28014346957206726, 0.03006068803369999, 0.29511237144470215, 0.06456001847982407]"
"[0.26126596331596375, 0.06929102540016174, 0.2791712284088135, 0.10407456010580063]",A symbol or logo that represents the element or symbol.,True,box_yolo_content_yolo,icon,"[0.26126596331596375, 0.06929102540016174, 0.2791712284088135, 0.10407456010580063]"
"[2.053007483482361e-05, 0.06690409779548645, 0.004992151167243719, 0.10452257096767426]",unanswerable,True,box_yolo_content_yolo,icon,"[2.053007483482361e-05, 0.06690409779548645, 0.004992151167243719, 0.10452257096767426]"
